A: 1 | B: 2 | C: 3 | D: 4 (100000 steps)
n = 0 -> x: 5, y: 6, h: 18.7705
n = 268 -> x: 0.101464, y: 5.57484, h: 18.888
n = 269 -> x: 0.100434, y: 5.55424, h: 18.8882
n = 270 -> x: 0.0994185, y: 5.5337, h: 18.8885
n = 271 -> x: 0.0984177, y: 5.51321, h: 18.8887
n = 272 -> x: 0.0974309, y: 5.49279, h: 18.8889
n = 273 -> x: 0.096458, y: 5.47242, h: 18.8891
n = 274 -> x: 0.0954987, y: 5.45212, h: 18.8893
n = 275 -> x: 0.0945529, y: 5.43187, h: 18.8895
n = 276 -> x: 0.0936202, y: 5.41168, h: 18.8897
n = 277 -> x: 0.0927006, y: 5.39156, h: 18.8899
n = 278 -> x: 0.0917937, y: 5.37149, h: 18.8901
n = 279 -> x: 0.0908993, y: 5.35148, h: 18.8903
n = 280 -> x: 0.0900173, y: 5.33154, h: 18.8905
n = 281 -> x: 0.0891475, y: 5.31165, h: 18.8907
n = 282 -> x: 0.0882896, y: 5.29182, h: 18.8909
n = 283 -> x: 0.0874435, y: 5.27206, h: 18.8911
n = 284 -> x: 0.0866089, y: 5.25235, h: 18.8913
n = 285 -> x: 0.0857857, y: 5.23271, h: 18.8915
n = 286 -> x: 0.0849737, y: 5.21312, h: 18.8916
n = 287 -> x: 0.0841727, y: 5.1936, h: 18.8918
n = 288 -> x: 0.0833826, y: 5.17414, h: 18.892
n = 289 -> x: 0.0826031, y: 5.15474, h: 18.8922
n = 290 -> x: 0.0818341, y: 5.13539, h: 18.8924
n = 291 -> x: 0.0810754, y: 5.11611, h: 18.8926
n = 292 -> x: 0.0803269, y: 5.09689, h: 18.8927
n = 293 -> x: 0.0795884, y: 5.07773, h: 18.8929
n = 294 -> x: 0.0788597, y: 5.05864, h: 18.8931
n = 295 -> x: 0.0781408, y: 5.0396, h: 18.8933
n = 296 -> x: 0.0774313, y: 5.02062, h: 18.8934
n = 297 -> x: 0.0767312, y: 5.0017, h: 18.8936
n = 298 -> x: 0.0760404, y: 4.98285, h: 18.8938
n = 299 -> x: 0.0753586, y: 4.96405, h: 18.8939
n = 300 -> x: 0.0746858, y: 4.94532, h: 18.8941
n = 301 -> x: 0.0740218, y: 4.92665, h: 18.8943
n = 302 -> x: 0.0733665, y: 4.90803, h: 18.8944
n = 303 -> x: 0.0727197, y: 4.88948, h: 18.8946
n = 304 -> x: 0.0720813, y: 4.87099, h: 18.8948
n = 305 -> x: 0.0714511, y: 4.85256, h: 18.8949
n = 306 -> x: 0.0708291, y: 4.83419, h: 18.8951
n = 307 -> x: 0.0702152, y: 4.81588, h: 18.8953
n = 308 -> x: 0.0696091, y: 4.79763, h: 18.8954
n = 309 -> x: 0.0690108, y: 4.77944, h: 18.8956
n = 310 -> x: 0.0684201, y: 4.76131, h: 18.8957
n = 311 -> x: 0.067837, y: 4.74325, h: 18.8959
n = 312 -> x: 0.0672613, y: 4.72524, h: 18.896
n = 313 -> x: 0.0666929, y: 4.70729, h: 18.8962
n = 314 -> x: 0.0661317, y: 4.6894, h: 18.8963
n = 315 -> x: 0.0655776, y: 4.67158, h: 18.8965
n = 316 -> x: 0.0650305, y: 4.65381, h: 18.8966
n = 317 -> x: 0.0644902, y: 4.6361, h: 18.8968
n = 318 -> x: 0.0639568, y: 4.61846, h: 18.8969
n = 319 -> x: 0.06343, y: 4.60087, h: 18.8971
n = 320 -> x: 0.0629097, y: 4.58334, h: 18.8972
n = 321 -> x: 0.062396, y: 4.56587, h: 18.8973
n = 322 -> x: 0.0618886, y: 4.54846, h: 18.8975
n = 323 -> x: 0.0613875, y: 4.53111, h: 18.8976
n = 324 -> x: 0.0608926, y: 4.51382, h: 18.8978
n = 325 -> x: 0.0604037, y: 4.49659, h: 18.8979
n = 326 -> x: 0.0599209, y: 4.47942, h: 18.898
n = 327 -> x: 0.059444, y: 4.46231, h: 18.8982
n = 328 -> x: 0.0589729, y: 4.44525, h: 18.8983
n = 329 -> x: 0.0585076, y: 4.42826, h: 18.8984
n = 330 -> x: 0.0580479, y: 4.41132, h: 18.8986
n = 331 -> x: 0.0575939, y: 4.39445, h: 18.8987
n = 332 -> x: 0.0571453, y: 4.37763, h: 18.8988
n = 333 -> x: 0.0567021, y: 4.36087, h: 18.8989
n = 334 -> x: 0.0562642, y: 4.34417, h: 18.8991
n = 335 -> x: 0.0558317, y: 4.32752, h: 18.8992
n = 336 -> x: 0.0554043, y: 4.31094, h: 18.8993
n = 337 -> x: 0.054982, y: 4.29441, h: 18.8995
n = 338 -> x: 0.0545647, y: 4.27794, h: 18.8996
n = 339 -> x: 0.0541525, y: 4.26153, h: 18.8997
n = 340 -> x: 0.0537451, y: 4.24518, h: 18.8998
n = 341 -> x: 0.0533425, y: 4.22888, h: 18.8999
n = 342 -> x: 0.0529447, y: 4.21264, h: 18.9001
n = 343 -> x: 0.0525516, y: 4.19646, h: 18.9002
n = 344 -> x: 0.052163, y: 4.18034, h: 18.9003
n = 345 -> x: 0.0517791, y: 4.16427, h: 18.9004
n = 346 -> x: 0.0513996, y: 4.14826, h: 18.9005
n = 347 -> x: 0.0510246, y: 4.13231, h: 18.9006
n = 348 -> x: 0.0506539, y: 4.11641, h: 18.9008
n = 349 -> x: 0.0502875, y: 4.10057, h: 18.9009
n = 350 -> x: 0.0499254, y: 4.08478, h: 18.901
n = 351 -> x: 0.0495675, y: 4.06906, h: 18.9011
n = 352 -> x: 0.0492137, y: 4.05339, h: 18.9012
n = 353 -> x: 0.0488639, y: 4.03777, h: 18.9013
n = 354 -> x: 0.0485182, y: 4.02221, h: 18.9014
n = 355 -> x: 0.0481764, y: 4.00671, h: 18.9015
n = 356 -> x: 0.0478385, y: 3.99126, h: 18.9016
n = 357 -> x: 0.0475045, y: 3.97587, h: 18.9017
n = 358 -> x: 0.0471742, y: 3.96053, h: 18.9018
n = 359 -> x: 0.0468477, y: 3.94525, h: 18.9019
n = 360 -> x: 0.0465249, y: 3.93002, h: 18.902
n = 361 -> x: 0.0462058, y: 3.91485, h: 18.9021
n = 362 -> x: 0.0458902, y: 3.89974, h: 18.9022
n = 363 -> x: 0.0455782, y: 3.88467, h: 18.9023
n = 364 -> x: 0.0452696, y: 3.86967, h: 18.9024
n = 365 -> x: 0.0449645, y: 3.85471, h: 18.9025
n = 366 -> x: 0.0446629, y: 3.83981, h: 18.9026
n = 367 -> x: 0.0443645, y: 3.82497, h: 18.9027
n = 368 -> x: 0.0440695, y: 3.81018, h: 18.9028
n = 369 -> x: 0.0437777, y: 3.79544, h: 18.9029
n = 370 -> x: 0.0434892, y: 3.78076, h: 18.903
n = 371 -> x: 0.0432039, y: 3.76613, h: 18.9031
n = 372 -> x: 0.0429216, y: 3.75155, h: 18.9032
n = 373 -> x: 0.0426425, y: 3.73703, h: 18.9033
n = 374 -> x: 0.0423664, y: 3.72256, h: 18.9034
n = 375 -> x: 0.0420934, y: 3.70814, h: 18.9035
n = 376 -> x: 0.0418233, y: 3.69378, h: 18.9036
n = 377 -> x: 0.0415562, y: 3.67947, h: 18.9037
n = 378 -> x: 0.0412919, y: 3.66521, h: 18.9038
n = 379 -> x: 0.0410305, y: 3.651, h: 18.9038
